user_profile_id,question_id,selected_option
1,1,10–12 PM
1,2,Messy
1,3,Some noise
1,4,Depends
1,5,Occasionally
1,6,Prefer not to
1,7,Never
1,8,Mild
2,1,Before 10 PM
2,2,Messy
2,3,Quiet
2,4,Morning
2,5,Occasionally
2,6,Depends
2,7,Never
2,8,Cold
3,1,10–12 PM
3,2,Very clean
3,3,Some noise
3,4,Night
3,5,Frequently
3,6,Depends
3,7,Never
3,8,Warm
4,1,Before 10 PM
4,2,Messy
4,3,Some noise
4,4,Depends
4,5,Occasionally
4,6,Fine with it
4,7,Never
4,8,Warm
5,1,After midnight
5,2,Moderate
5,3,Doesn’t matter
5,4,Depends
5,5,Rarely
5,6,Prefer not to
5,7,Sometimes
5,8,Mild
6,1,After midnight
6,2,Messy
6,3,Some noise
6,4,Depends
6,5,Frequently
6,6,Fine with it
6,7,Sometimes
6,8,Warm
7,1,After midnight
7,2,Very clean
7,3,Doesn’t matter
7,4,Night
7,5,Occasionally
7,6,Fine with it
7,7,Sometimes
7,8,Warm
8,1,Before 10 PM
8,2,Moderate
8,3,Quiet
8,4,Night
8,5,Frequently
8,6,Fine with it
8,7,Sometimes
8,8,Mild
9,1,After midnight
9,2,Messy
9,3,Doesn’t matter
9,4,Morning
9,5,Rarely
9,6,Prefer not to
9,7,Sometimes
9,8,Mild
10,1,After midnight
10,2,Very clean
10,3,Some noise
10,4,Morning
10,5,Occasionally
10,6,Depends
10,7,Sometimes
10,8,Mild
11,1,10–12 PM
11,2,Messy
11,3,Quiet
11,4,Depends
11,5,Rarely
11,6,Depends
11,7,Never
11,8,Cold
12,1,After midnight
12,2,Very clean
12,3,Some noise
12,4,Morning
12,5,Rarely
12,6,Fine with it
12,7,Never
12,8,Cold
13,1,10–12 PM
13,2,Messy
13,3,Quiet
13,4,Depends
13,5,Rarely
13,6,Depends
13,7,Never
13,8,Warm
14,1,After midnight
14,2,Moderate
14,3,Doesn’t matter
14,4,Depends
14,5,Rarely
14,6,Prefer not to
14,7,Never
14,8,Mild
15,1,10–12 PM
15,2,Messy
15,3,Quiet
15,4,Depends
15,5,Rarely
15,6,Prefer not to
15,7,Sometimes
15,8,Warm
16,1,10–12 PM
16,2,Very clean
16,3,Some noise
16,4,Depends
16,5,Occasionally
16,6,Prefer not to
16,7,Never
16,8,Cold
17,1,Before 10 PM
17,2,Moderate
17,3,Doesn’t matter
17,4,Morning
17,5,Occasionally
17,6,Fine with it
17,7,Sometimes
17,8,Cold
18,1,10–12 PM
18,2,Messy
18,3,Doesn’t matter
18,4,Night
18,5,Rarely
18,6,Prefer not to
18,7,Sometimes
18,8,Cold
19,1,After midnight
19,2,Very clean
19,3,Quiet
19,4,Night
19,5,Frequently
19,6,Fine with it
19,7,Often
19,8,Cold
20,1,10–12 PM
20,2,Messy
20,3,Some noise
20,4,Depends
20,5,Rarely
20,6,Prefer not to
20,7,Often
20,8,Cold
21,1,Before 10 PM
21,2,Moderate
21,3,Doesn’t matter
21,4,Morning
21,5,Frequently
21,6,Depends
21,7,Never
21,8,Cold
22,1,Before 10 PM
22,2,Very clean
22,3,Quiet
22,4,Morning
22,5,Occasionally
22,6,Fine with it
22,7,Often
22,8,Cold
23,1,After midnight
23,2,Moderate
23,3,Doesn’t matter
23,4,Depends
23,5,Occasionally
23,6,Prefer not to
23,7,Often
23,8,Warm
24,1,Before 10 PM
24,2,Very clean
24,3,Some noise
24,4,Depends
24,5,Rarely
24,6,Fine with it
24,7,Never
24,8,Cold
25,1,10–12 PM
25,2,Moderate
25,3,Some noise
25,4,Depends
25,5,Occasionally
25,6,Depends
25,7,Never
25,8,Warm
26,1,Before 10 PM
26,2,Very clean
26,3,Some noise
26,4,Morning
26,5,Frequently
26,6,Prefer not to
26,7,Often
26,8,Warm
27,1,After midnight
27,2,Messy
27,3,Doesn’t matter
27,4,Depends
27,5,Rarely
27,6,Fine with it
27,7,Often
27,8,Warm
28,1,10–12 PM
28,2,Messy
28,3,Quiet
28,4,Night
28,5,Frequently
28,6,Prefer not to
28,7,Often
28,8,Cold
29,1,10–12 PM
29,2,Messy
29,3,Doesn’t matter
29,4,Depends
29,5,Rarely
29,6,Depends
29,7,Often
29,8,Cold
30,1,Before 10 PM
30,2,Messy
30,3,Quiet
30,4,Depends
30,5,Occasionally
30,6,Fine with it
30,7,Never
30,8,Warm
31,1,10–12 PM
31,2,Very clean
31,3,Some noise
31,4,Morning
31,5,Rarely
31,6,Prefer not to
31,7,Never
31,8,Warm
32,1,Before 10 PM
32,2,Messy
32,3,Doesn’t matter
32,4,Depends
32,5,Frequently
32,6,Fine with it
32,7,Never
32,8,Mild
33,1,Before 10 PM
33,2,Very clean
33,3,Doesn’t matter
33,4,Night
33,5,Occasionally
33,6,Prefer not to
33,7,Never
33,8,Cold
34,1,Before 10 PM
34,2,Messy
34,3,Doesn’t matter
34,4,Morning
34,5,Occasionally
34,6,Depends
34,7,Sometimes
34,8,Cold
35,1,Before 10 PM
35,2,Messy
35,3,Quiet
35,4,Depends
35,5,Occasionally
35,6,Prefer not to
35,7,Often
35,8,Cold
36,1,Before 10 PM
36,2,Messy
36,3,Some noise
36,4,Morning
36,5,Occasionally
36,6,Depends
36,7,Often
36,8,Cold
37,1,10–12 PM
37,2,Moderate
37,3,Quiet
37,4,Morning
37,5,Occasionally
37,6,Prefer not to
37,7,Often
37,8,Warm
38,1,After midnight
38,2,Very clean
38,3,Doesn’t matter
38,4,Morning
38,5,Occasionally
38,6,Fine with it
38,7,Sometimes
38,8,Mild
39,1,After midnight
39,2,Moderate
39,3,Quiet
39,4,Depends
39,5,Rarely
39,6,Depends
39,7,Often
39,8,Cold
40,1,Before 10 PM
40,2,Moderate
40,3,Doesn’t matter
40,4,Morning
40,5,Occasionally
40,6,Prefer not to
40,7,Never
40,8,Cold
41,1,Before 10 PM
41,2,Messy
41,3,Doesn’t matter
41,4,Night
41,5,Rarely
41,6,Fine with it
41,7,Never
41,8,Cold
42,1,Before 10 PM
42,2,Very clean
42,3,Quiet
42,4,Night
42,5,Frequently
42,6,Depends
42,7,Never
42,8,Warm
43,1,After midnight
43,2,Moderate
43,3,Some noise
43,4,Depends
43,5,Rarely
43,6,Fine with it
43,7,Sometimes
43,8,Cold
44,1,After midnight
44,2,Very clean
44,3,Some noise
44,4,Night
44,5,Rarely
44,6,Fine with it
44,7,Sometimes
44,8,Warm
45,1,Before 10 PM
45,2,Messy
45,3,Some noise
45,4,Night
45,5,Frequently
45,6,Prefer not to
45,7,Often
45,8,Mild
46,1,10–12 PM
46,2,Very clean
46,3,Some noise
46,4,Depends
46,5,Rarely
46,6,Depends
46,7,Sometimes
46,8,Warm
47,1,Before 10 PM
47,2,Messy
47,3,Quiet
47,4,Depends
47,5,Rarely
47,6,Fine with it
47,7,Often
47,8,Warm
48,1,Before 10 PM
48,2,Moderate
48,3,Some noise
48,4,Night
48,5,Occasionally
48,6,Prefer not to
48,7,Often
48,8,Warm
49,1,After midnight
49,2,Messy
49,3,Quiet
49,4,Night
49,5,Frequently
49,6,Fine with it
49,7,Sometimes
49,8,Warm
50,1,After midnight
50,2,Very clean
50,3,Some noise
50,4,Morning
50,5,Rarely
50,6,Depends
50,7,Often
50,8,Cold
51,1,Before 10 PM
51,2,Messy
51,3,Some noise
51,4,Night
51,5,Rarely
51,6,Prefer not to
51,7,Sometimes
51,8,Mild
52,1,After midnight
52,2,Moderate
52,3,Some noise
52,4,Depends
52,5,Frequently
52,6,Depends
52,7,Never
52,8,Warm
53,1,Before 10 PM
53,2,Very clean
53,3,Doesn’t matter
53,4,Depends
53,5,Rarely
53,6,Prefer not to
53,7,Often
53,8,Mild
54,1,After midnight
54,2,Very clean
54,3,Quiet
54,4,Morning
54,5,Rarely
54,6,Depends
54,7,Sometimes
54,8,Cold
55,1,10–12 PM
55,2,Moderate
55,3,Doesn’t matter
55,4,Night
55,5,Frequently
55,6,Fine with it
55,7,Sometimes
55,8,Warm
56,1,10–12 PM
56,2,Very clean
56,3,Doesn’t matter
56,4,Morning
56,5,Occasionally
56,6,Depends
56,7,Never
56,8,Warm
57,1,Before 10 PM
57,2,Very clean
57,3,Some noise
57,4,Night
57,5,Occasionally
57,6,Prefer not to
57,7,Often
57,8,Mild
58,1,Before 10 PM
58,2,Very clean
58,3,Some noise
58,4,Depends
58,5,Rarely
58,6,Depends
58,7,Often
58,8,Warm
59,1,After midnight
59,2,Moderate
59,3,Quiet
59,4,Depends
59,5,Frequently
59,6,Prefer not to
59,7,Never
59,8,Warm
60,1,After midnight
60,2,Moderate
60,3,Some noise
60,4,Morning
60,5,Occasionally
60,6,Prefer not to
60,7,Sometimes
60,8,Cold
61,1,After midnight
61,2,Moderate
61,3,Some noise
61,4,Night
61,5,Frequently
61,6,Depends
61,7,Sometimes
61,8,Mild
62,1,After midnight
62,2,Moderate
62,3,Some noise
62,4,Depends
62,5,Rarely
62,6,Prefer not to
62,7,Often
62,8,Warm
63,1,After midnight
63,2,Very clean
63,3,Some noise
63,4,Morning
63,5,Frequently
63,6,Fine with it
63,7,Never
63,8,Warm
64,1,Before 10 PM
64,2,Messy
64,3,Some noise
64,4,Night
64,5,Occasionally
64,6,Prefer not to
64,7,Never
64,8,Warm
65,1,10–12 PM
65,2,Very clean
65,3,Doesn’t matter
65,4,Night
65,5,Frequently
65,6,Prefer not to
65,7,Sometimes
65,8,Cold
66,1,10–12 PM
66,2,Moderate
66,3,Some noise
66,4,Morning
66,5,Frequently
66,6,Prefer not to
66,7,Sometimes
66,8,Cold
67,1,After midnight
67,2,Very clean
67,3,Doesn’t matter
67,4,Morning
67,5,Rarely
67,6,Depends
67,7,Never
67,8,Cold
68,1,After midnight
68,2,Messy
68,3,Some noise
68,4,Night
68,5,Occasionally
68,6,Prefer not to
68,7,Never
68,8,Mild
69,1,After midnight
69,2,Moderate
69,3,Some noise
69,4,Depends
69,5,Rarely
69,6,Depends
69,7,Often
69,8,Cold
70,1,Before 10 PM
70,2,Messy
70,3,Some noise
70,4,Morning
70,5,Rarely
70,6,Depends
70,7,Never
70,8,Warm
71,1,10–12 PM
71,2,Very clean
71,3,Some noise
71,4,Night
71,5,Frequently
71,6,Fine with it
71,7,Often
71,8,Warm
72,1,After midnight
72,2,Messy
72,3,Quiet
72,4,Depends
72,5,Rarely
72,6,Prefer not to
72,7,Often
72,8,Warm
73,1,10–12 PM
73,2,Messy
73,3,Quiet
73,4,Morning
73,5,Occasionally
73,6,Prefer not to
73,7,Sometimes
73,8,Warm
74,1,Before 10 PM
74,2,Messy
74,3,Some noise
74,4,Night
74,5,Frequently
74,6,Depends
74,7,Often
74,8,Mild
75,1,10–12 PM
75,2,Moderate
75,3,Some noise
75,4,Morning
75,5,Rarely
75,6,Depends
75,7,Never
75,8,Mild
76,1,10–12 PM
76,2,Messy
76,3,Quiet
76,4,Night
76,5,Frequently
76,6,Prefer not to
76,7,Often
76,8,Mild
77,1,10–12 PM
77,2,Moderate
77,3,Quiet
77,4,Night
77,5,Occasionally
77,6,Depends
77,7,Sometimes
77,8,Warm
78,1,Before 10 PM
78,2,Moderate
78,3,Some noise
78,4,Depends
78,5,Frequently
78,6,Fine with it
78,7,Sometimes
78,8,Warm
79,1,10–12 PM
79,2,Very clean
79,3,Quiet
79,4,Depends
79,5,Rarely
79,6,Depends
79,7,Often
79,8,Cold
80,1,After midnight
80,2,Very clean
80,3,Quiet
80,4,Depends
80,5,Occasionally
80,6,Fine with it
80,7,Never
80,8,Cold
81,1,10–12 PM
81,2,Very clean
81,3,Some noise
81,4,Morning
81,5,Occasionally
81,6,Depends
81,7,Never
81,8,Mild
82,1,10–12 PM
82,2,Messy
82,3,Doesn’t matter
82,4,Morning
82,5,Occasionally
82,6,Depends
82,7,Never
82,8,Mild
83,1,10–12 PM
83,2,Moderate
83,3,Doesn’t matter
83,4,Morning
83,5,Occasionally
83,6,Fine with it
83,7,Sometimes
83,8,Mild
84,1,After midnight
84,2,Very clean
84,3,Quiet
84,4,Morning
84,5,Frequently
84,6,Fine with it
84,7,Sometimes
84,8,Warm
85,1,10–12 PM
85,2,Moderate
85,3,Some noise
85,4,Night
85,5,Frequently
85,6,Prefer not to
85,7,Sometimes
85,8,Cold
86,1,After midnight
86,2,Moderate
86,3,Some noise
86,4,Night
86,5,Rarely
86,6,Fine with it
86,7,Never
86,8,Warm
87,1,10–12 PM
87,2,Moderate
87,3,Quiet
87,4,Morning
87,5,Rarely
87,6,Fine with it
87,7,Never
87,8,Mild
88,1,10–12 PM
88,2,Moderate
88,3,Quiet
88,4,Depends
88,5,Frequently
88,6,Fine with it
88,7,Never
88,8,Warm
89,1,After midnight
89,2,Very clean
89,3,Quiet
89,4,Depends
89,5,Frequently
89,6,Prefer not to
89,7,Sometimes
89,8,Cold
90,1,After midnight
90,2,Very clean
90,3,Some noise
90,4,Morning
90,5,Frequently
90,6,Fine with it
90,7,Often
90,8,Mild
91,1,After midnight
91,2,Moderate
91,3,Doesn’t matter
91,4,Depends
91,5,Occasionally
91,6,Fine with it
91,7,Sometimes
91,8,Mild
92,1,After midnight
92,2,Messy
92,3,Some noise
92,4,Morning
92,5,Frequently
92,6,Fine with it
92,7,Never
92,8,Cold
93,1,10–12 PM
93,2,Moderate
93,3,Some noise
93,4,Night
93,5,Frequently
93,6,Prefer not to
93,7,Sometimes
93,8,Mild
94,1,After midnight
94,2,Very clean
94,3,Doesn’t matter
94,4,Depends
94,5,Rarely
94,6,Fine with it
94,7,Never
94,8,Cold
95,1,10–12 PM
95,2,Very clean
95,3,Doesn’t matter
95,4,Depends
95,5,Frequently
95,6,Fine with it
95,7,Sometimes
95,8,Mild
96,1,After midnight
96,2,Very clean
96,3,Some noise
96,4,Depends
96,5,Occasionally
96,6,Depends
96,7,Often
96,8,Cold
97,1,Before 10 PM
97,2,Very clean
97,3,Doesn’t matter
97,4,Night
97,5,Frequently
97,6,Prefer not to
97,7,Never
97,8,Warm
98,1,10–12 PM
98,2,Very clean
98,3,Some noise
98,4,Morning
98,5,Rarely
98,6,Prefer not to
98,7,Often
98,8,Cold
99,1,Before 10 PM
99,2,Moderate
99,3,Quiet
99,4,Depends
99,5,Rarely
99,6,Fine with it
99,7,Never
99,8,Mild
100,1,10–12 PM
100,2,Very clean
100,3,Some noise
100,4,Morning
100,5,Frequently
100,6,Prefer not to
100,7,Never
100,8,Warm
101,1,10–12 PM
101,2,Messy
101,3,Quiet
101,4,Morning
101,5,Occasionally
101,6,Depends
101,7,Often
101,8,Mild
102,1,Before 10 PM
102,2,Moderate
102,3,Doesn’t matter
102,4,Depends
102,5,Frequently
102,6,Fine with it
102,7,Often
102,8,Warm
103,1,Before 10 PM
103,2,Moderate
103,3,Quiet
103,4,Night
103,5,Frequently
103,6,Fine with it
103,7,Never
103,8,Warm
104,1,Before 10 PM
104,2,Messy
104,3,Quiet
104,4,Morning
104,5,Occasionally
