user_profile_id,question_id,selected_option
104,6,Prefer not to
104,7,Often
104,8,Warm
105,1,10–12 PM
105,2,Messy
105,3,Some noise
105,4,Depends
105,5,Occasionally
105,6,Prefer not to
105,7,Often
105,8,Mild
106,1,Before 10 PM
106,2,Messy
106,3,Some noise
106,4,Depends
106,5,Rarely
106,6,Prefer not to
106,7,Often
106,8,Cold
107,1,10–12 PM
107,2,Moderate
107,3,Some noise
107,4,Depends
107,5,Rarely
107,6,Prefer not to
107,7,Often
107,8,Cold
108,1,After midnight
108,2,Messy
108,3,Some noise
108,4,Night
108,5,Rarely
108,6,Fine with it
108,7,Often
108,8,Warm
109,1,10–12 PM
109,2,Very clean
109,3,Some noise
109,4,Depends
109,5,Frequently
109,6,Prefer not to
109,7,Sometimes
109,8,Cold
110,1,10–12 PM
110,2,Very clean
110,3,Doesn’t matter
110,4,Depends
110,5,Rarely
110,6,Prefer not to
110,7,Never
110,8,Warm
111,1,After midnight
111,2,Moderate
111,3,Some noise
111,4,Night
111,5,Frequently
111,6,Prefer not to
111,7,Often
111,8,Mild
112,1,Before 10 PM
112,2,Messy
112,3,Quiet
112,4,Depends
112,5,Occasionally
112,6,Fine with it
112,7,Sometimes
112,8,Cold
113,1,Before 10 PM
113,2,Moderate
113,3,Quiet
113,4,Depends
113,5,Rarely
113,6,Fine with it
113,7,Never
113,8,Warm
114,1,After midnight
114,2,Messy
114,3,Quiet
114,4,Night
114,5,Rarely
114,6,Depends
114,7,Often
114,8,Warm
115,1,After midnight
115,2,Messy
115,3,Doesn’t matter
115,4,Depends
115,5,Rarely
115,6,Depends
115,7,Never
115,8,Cold
116,1,Before 10 PM
116,2,Moderate
116,3,Doesn’t matter
116,4,Night
116,5,Occasionally
116,6,Prefer not to
116,7,Sometimes
116,8,Mild
117,1,Before 10 PM
117,2,Messy
117,3,Some noise
117,4,Night
117,5,Rarely
117,6,Prefer not to
117,7,Often
117,8,Mild
118,1,Before 10 PM
118,2,Very clean
118,3,Doesn’t matter
118,4,Depends
118,5,Occasionally
118,6,Fine with it
118,7,Often
118,8,Mild
119,1,10–12 PM
119,2,Moderate
119,3,Quiet
119,4,Morning
119,5,Frequently
119,6,Fine with it
119,7,Sometimes
119,8,Cold
120,1,10–12 PM
120,2,Messy
120,3,Doesn’t matter
120,4,Night
120,5,Frequently
120,6,Fine with it
120,7,Often
120,8,Cold
121,1,Before 10 PM
121,2,Very clean
121,3,Some noise
121,4,Night
121,5,Rarely
121,6,Depends
121,7,Sometimes
121,8,Warm
122,1,After midnight
122,2,Very clean
122,3,Doesn’t matter
122,4,Morning
122,5,Frequently
122,6,Prefer not to
122,7,Sometimes
122,8,Warm
123,1,Before 10 PM
123,2,Messy
123,3,Some noise
123,4,Depends
123,5,Frequently
123,6,Prefer not to
123,7,Sometimes
123,8,Warm
124,1,10–12 PM
124,2,Moderate
124,3,Doesn’t matter
124,4,Depends
124,5,Frequently
124,6,Prefer not to
124,7,Sometimes
124,8,Cold
125,1,10–12 PM
125,2,Messy
125,3,Quiet
125,4,Morning
125,5,Occasionally
125,6,Prefer not to
125,7,Sometimes
125,8,Mild
126,1,After midnight
126,2,Moderate
126,3,Quiet
126,4,Night
126,5,Rarely
126,6,Depends
126,7,Sometimes
126,8,Cold
127,1,Before 10 PM
127,2,Very clean
127,3,Doesn’t matter
127,4,Night
127,5,Occasionally
127,6,Depends
127,7,Never
127,8,Mild
128,1,10–12 PM
128,2,Moderate
128,3,Some noise
128,4,Depends
128,5,Rarely
128,6,Fine with it
128,7,Never
128,8,Mild
129,1,After midnight
129,2,Very clean
129,3,Quiet
129,4,Night
129,5,Frequently
129,6,Depends
129,7,Sometimes
129,8,Warm
130,1,After midnight
130,2,Messy
130,3,Some noise
130,4,Night
130,5,Rarely
130,6,Fine with it
130,7,Sometimes
130,8,Mild
131,1,10–12 PM
131,2,Very clean
131,3,Doesn’t matter
131,4,Night
131,5,Rarely
131,6,Prefer not to
131,7,Sometimes
131,8,Warm
132,1,Before 10 PM
132,2,Messy
132,3,Some noise
132,4,Morning
132,5,Frequently
132,6,Prefer not to
132,7,Sometimes
132,8,Warm
133,1,After midnight
133,2,Moderate
133,3,Quiet
133,4,Night
133,5,Rarely
133,6,Prefer not to
133,7,Often
133,8,Cold
134,1,Before 10 PM
134,2,Moderate
134,3,Doesn’t matter
134,4,Morning
134,5,Frequently
134,6,Depends
134,7,Often
134,8,Cold
135,1,Before 10 PM
135,2,Very clean
135,3,Some noise
135,4,Morning
135,5,Rarely
135,6,Prefer not to
135,7,Never
135,8,Mild
136,1,Before 10 PM
136,2,Messy
136,3,Doesn’t matter
136,4,Night
136,5,Frequently
136,6,Depends
136,7,Never
136,8,Warm
137,1,10–12 PM
137,2,Moderate
137,3,Some noise
137,4,Night
137,5,Occasionally
137,6,Prefer not to
137,7,Sometimes
137,8,Cold
138,1,After midnight
138,2,Messy
138,3,Doesn’t matter
138,4,Night
138,5,Occasionally
138,6,Prefer not to
138,7,Often
138,8,Warm
139,1,After midnight
139,2,Messy
139,3,Quiet
139,4,Depends
139,5,Rarely
139,6,Depends
139,7,Sometimes
139,8,Warm
140,1,10–12 PM
140,2,Messy
140,3,Some noise
140,4,Morning
140,5,Rarely
140,6,Prefer not to
140,7,Never
140,8,Cold
141,1,10–12 PM
141,2,Very clean
141,3,Doesn’t matter
141,4,Depends
141,5,Occasionally
141,6,Depends
141,7,Sometimes
141,8,Warm
142,1,10–12 PM
142,2,Messy
142,3,Doesn’t matter
142,4,Night
142,5,Frequently
142,6,Prefer not to
142,7,Often
142,8,Cold
143,1,After midnight
143,2,Very clean
143,3,Doesn’t matter
143,4,Night
143,5,Occasionally
143,6,Depends
143,7,Often
143,8,Cold
144,1,Before 10 PM
144,2,Messy
144,3,Some noise
144,4,Morning
144,5,Frequently
144,6,Prefer not to
144,7,Never
144,8,Cold
145,1,After midnight
145,2,Very clean
145,3,Some noise
145,4,Depends
145,5,Occasionally
145,6,Fine with it
145,7,Sometimes
145,8,Cold
146,1,After midnight
146,2,Very clean
146,3,Doesn’t matter
146,4,Morning
146,5,Occasionally
146,6,Fine with it
146,7,Often
146,8,Mild
147,1,10–12 PM
147,2,Messy
147,3,Some noise
147,4,Morning
147,5,Rarely
147,6,Depends
147,7,Sometimes
147,8,Mild
148,1,After midnight
148,2,Messy
148,3,Some noise
148,4,Depends
148,5,Frequently
148,6,Depends
148,7,Sometimes
148,8,Cold
149,1,After midnight
149,2,Very clean
149,3,Doesn’t matter
149,4,Depends
149,5,Rarely
149,6,Depends
149,7,Sometimes
149,8,Mild
150,1,After midnight
150,2,Moderate
150,3,Quiet
150,4,Night
150,5,Frequently
150,6,Prefer not to
150,7,Often
150,8,Warm
151,1,Before 10 PM
151,2,Moderate
151,3,Doesn’t matter
151,4,Depends
151,5,Rarely
151,6,Prefer not to
151,7,Sometimes
151,8,Warm
152,1,After midnight
152,2,Very clean
152,3,Doesn’t matter
152,4,Night
152,5,Rarely
152,6,Prefer not to
152,7,Never
152,8,Mild
153,1,Before 10 PM
153,2,Messy
153,3,Doesn’t matter
153,4,Night
153,5,Occasionally
153,6,Prefer not to
153,7,Often
153,8,Cold
154,1,10–12 PM
154,2,Very clean
154,3,Some noise
154,4,Depends
154,5,Occasionally
154,6,Depends
154,7,Never
154,8,Mild
155,1,10–12 PM
155,2,Messy
155,3,Some noise
155,4,Morning
155,5,Occasionally
155,6,Fine with it
155,7,Often
155,8,Mild
156,1,After midnight
156,2,Very clean
156,3,Quiet
156,4,Morning
156,5,Occasionally
156,6,Fine with it
156,7,Often
156,8,Mild
157,1,Before 10 PM
157,2,Very clean
157,3,Some noise
157,4,Depends
157,5,Frequently
157,6,Prefer not to
157,7,Never
157,8,Cold
158,1,After midnight
158,2,Messy
158,3,Doesn’t matter
158,4,Night
158,5,Occasionally
158,6,Prefer not to
158,7,Never
158,8,Cold
159,1,Before 10 PM
159,2,Messy
159,3,Doesn’t matter
159,4,Depends
159,5,Frequently
159,6,Fine with it
159,7,Sometimes
159,8,Mild
160,1,After midnight
160,2,Very clean
160,3,Quiet
160,4,Night
160,5,Rarely
160,6,Prefer not to
160,7,Sometimes
160,8,Cold
161,1,10–12 PM
161,2,Messy
161,3,Doesn’t matter
161,4,Morning
161,5,Rarely
161,6,Prefer not to
161,7,Sometimes
161,8,Warm
162,1,10–12 PM
162,2,Moderate
162,3,Doesn’t matter
162,4,Depends
162,5,Occasionally
162,6,Depends
162,7,Never
162,8,Mild
163,1,Before 10 PM
163,2,Moderate
163,3,Doesn’t matter
163,4,Morning
163,5,Rarely
163,6,Fine with it
163,7,Never
163,8,Cold
164,1,Before 10 PM
164,2,Moderate
164,3,Doesn’t matter
164,4,Morning
164,5,Rarely
164,6,Depends
164,7,Never
164,8,Mild
165,1,After midnight
165,2,Moderate
165,3,Quiet
165,4,Night
165,5,Rarely
165,6,Depends
165,7,Often
165,8,Cold
166,1,After midnight
166,2,Moderate
166,3,Some noise
166,4,Morning
166,5,Rarely
166,6,Fine with it
166,7,Never
166,8,Cold
167,1,Before 10 PM
167,2,Moderate
167,3,Doesn’t matter
167,4,Morning
167,5,Rarely
167,6,Depends
167,7,Never
167,8,Mild
168,1,Before 10 PM
168,2,Very clean
168,3,Some noise
168,4,Depends
168,5,Frequently
168,6,Fine with it
168,7,Sometimes
168,8,Warm
169,1,10–12 PM
169,2,Moderate
169,3,Doesn’t matter
169,4,Depends
169,5,Frequently
169,6,Depends
169,7,Never
169,8,Cold
170,1,After midnight
170,2,Very clean
170,3,Doesn’t matter
170,4,Night
170,5,Occasionally
170,6,Depends
170,7,Never
170,8,Warm
171,1,After midnight
171,2,Messy
171,3,Doesn’t matter
171,4,Night
171,5,Occasionally
171,6,Fine with it
171,7,Often
171,8,Cold
172,1,Before 10 PM
172,2,Messy
172,3,Quiet
172,4,Morning
172,5,Occasionally
172,6,Prefer not to
172,7,Sometimes
172,8,Mild
173,1,After midnight
173,2,Messy
173,3,Quiet
173,4,Depends
173,5,Frequently
173,6,Fine with it
173,7,Often
173,8,Cold
174,1,After midnight
174,2,Very clean
174,3,Some noise
174,4,Morning
174,5,Rarely
174,6,Depends
174,7,Never
174,8,Mild
175,1,10–12 PM
175,2,Moderate
175,3,Doesn’t matter
175,4,Morning
175,5,Rarely
175,6,Fine with it
175,7,Sometimes
175,8,Mild
176,1,Before 10 PM
176,2,Messy
176,3,Doesn’t matter
176,4,Depends
176,5,Frequently
176,6,Prefer not to
176,7,Sometimes
176,8,Cold
177,1,10–12 PM
177,2,Moderate
177,3,Quiet
177,4,Morning
177,5,Rarely
177,6,Prefer not to
177,7,Often
177,8,Warm
178,1,After midnight
178,2,Messy
178,3,Some noise
178,4,Depends
178,5,Frequently
178,6,Fine with it
178,7,Never
178,8,Warm
179,1,Before 10 PM
179,2,Very clean
179,3,Some noise
179,4,Night
179,5,Occasionally
179,6,Depends
179,7,Sometimes
179,8,Cold
180,1,After midnight
180,2,Messy
180,3,Quiet
180,4,Depends
180,5,Frequently
180,6,Fine with it
180,7,Sometimes
180,8,Cold
181,1,Before 10 PM
181,2,Very clean
181,3,Doesn’t matter
181,4,Night
181,5,Frequently
181,6,Prefer not to
181,7,Sometimes
181,8,Cold
182,1,After midnight
182,2,Moderate
182,3,Doesn’t matter
182,4,Depends
182,5,Frequently
182,6,Prefer not to
182,7,Never
182,8,Cold
183,1,10–12 PM
183,2,Messy
183,3,Some noise
183,4,Night
183,5,Frequently
183,6,Prefer not to
183,7,Sometimes
183,8,Mild
184,1,Before 10 PM
184,2,Very clean
184,3,Quiet
184,4,Depends
184,5,Frequently
184,6,Depends
184,7,Sometimes
184,8,Cold
185,1,10–12 PM
185,2,Messy
185,3,Doesn’t matter
185,4,Night
185,5,Occasionally
185,6,Prefer not to
185,7,Often
185,8,Cold
186,1,Before 10 PM
186,2,Moderate
186,3,Some noise
186,4,Morning
186,5,Frequently
186,6,Fine with it
186,7,Often
186,8,Warm
187,1,Before 10 PM
187,2,Very clean
187,3,Quiet
187,4,Night
187,5,Frequently
187,6,Prefer not to
187,7,Sometimes
187,8,Cold
188,1,10–12 PM
188,2,Moderate
188,3,Some noise
188,4,Morning
188,5,Rarely
188,6,Depends
188,7,Often
188,8,Cold
189,1,After midnight
189,2,Messy
189,3,Doesn’t matter
189,4,Night
189,5,Rarely
189,6,Fine with it
189,7,Sometimes
189,8,Mild
190,1,10–12 PM
190,2,Messy
190,3,Some noise
190,4,Night
190,5,Occasionally
190,6,Fine with it
190,7,Never
190,8,Warm
191,1,Before 10 PM
191,2,Messy
191,3,Some noise
191,4,Morning
191,5,Rarely
191,6,Fine with it
191,7,Never
191,8,Cold
192,1,After midnight
192,2,Very clean
192,3,Quiet
192,4,Depends
192,5,Rarely
192,6,Depends
192,7,Sometimes
192,8,Warm
193,1,Before 10 PM
193,2,Moderate
193,3,Doesn’t matter
193,4,Depends
193,5,Occasionally
193,6,Fine with it
193,7,Often
193,8,Cold
194,1,After midnight
194,2,Messy
194,3,Doesn’t matter
194,4,Night
194,5,Rarely
194,6,Fine with it
194,7,Never
194,8,Cold
195,1,After midnight
195,2,Moderate
195,3,Quiet
195,4,Depends
195,5,Frequently
195,6,Fine with it
195,7,Never
195,8,Warm
196,1,10–12 PM
196,2,Moderate
196,3,Some noise
196,4,Depends
196,5,Rarely
196,6,Depends
196,7,Sometimes
196,8,Mild
197,1,Before 10 PM
197,2,Messy
197,3,Some noise
197,4,Night
197,5,Frequently
197,6,Depends
197,7,Never
197,8,Warm
198,1,Before 10 PM
198,2,Very clean
198,3,Doesn’t matter
198,4,Morning
198,5,Frequently
198,6,Fine with it
198,7,Often
198,8,Cold
199,1,After midnight
199,2,Messy
199,3,Doesn’t matter
199,4,Morning
199,5,Frequently
199,6,Depends
199,7,Often
199,8,Mild
200,1,After midnight
200,2,Moderate
200,3,Doesn’t matter
200,4,Depends
200,5,Occasionally
200,6,Fine with it
200,7,Often
200,8,Mild
